Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,
1,CA-2019-152156,11/8/2019,11/11/2019,Second Class,CG-12520,United States,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,0
2,CA-2019-152156,11/8/2019,11/11/2019,Second Class,CG-12520,United States,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,0
3,CA-2019-138688,6/12/2019,6/16/2019,Second Class,DV-13045,United States,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,0
4,US-2018-108966,10/11/2018,10/18/2018,Standard Class,SO-20335,United States,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,430.909875
5,US-2018-108966,10/11/2018,10/18/2018,Standard Class,SO-20335,United States,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,4.4736
6,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,0
7,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,0
8,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,181.4304
9,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,3.7008
10,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,0
11,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,341.2368
12,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,United States,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,182.2848
13,CA-2020-114412,4/15/2020,4/20/2020,Standard Class,AA-10480,United States,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,3.1104
14,CA-2019-161389,12/5/2019,12/10/2019,Standard Class,IM-15070,United States,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,81.5952
15,US-2018-118983,11/22/2018,11/26/2018,Standard Class,HP-14815,United States,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,55.048
16,US-2018-118983,11/22/2018,11/26/2018,Standard Class,HP-14815,United States,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2.0352
17,CA-2017-105893,11/11/2017,11/18/2017,Standard Class,PK-19075,United States,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,0
18,CA-2017-167164,5/13/2017,5/15/2017,Second Class,AG-10270,United States,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,0
19,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,United States,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,0
20,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,United States,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,42.696
21,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,United States,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,4.544
22,CA-2019-137330,12/9/2019,12/13/2019,Standard Class,KB-16585,United States,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,0
23,CA-2019-137330,12/9/2019,12/13/2019,Standard Class,KB-16585,United States,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,0
24,US-2020-156909,7/16/2020,7/18/2020,Second Class,SF-20065,United States,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,21.4116
25,CA-2018-106320,9/25/2018,9/30/2018,Standard Class,EB-13870,United States,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,0
26,CA-2019-121755,1/16/2019,1/20/2019,Second Class,EH-13945,United States,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2.3296
27,CA-2019-121755,1/16/2019,1/20/2019,Second Class,EH-13945,United States,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,0
28,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,1541.715
29,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,6.7326
30,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,24.84
31,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,0.6528
32,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,17.2608
33,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,4.8006
34,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,United States,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,3.152
35,CA-2020-107727,10/19/2020,10/23/2020,Second Class,MA-17560,United States,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,5.8944
36,CA-2019-117590,12/8/2019,12/10/2019,First Class,GH-14485,United States,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,219.5088
37,CA-2019-117590,12/8/2019,12/10/2019,First Class,GH-14485,United States,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,114.552
38,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,United States,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,22.6656
39,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,United States,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,170.367744
40,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,United States,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,63.6174
41,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,United States,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,74.2336
42,CA-2020-120999,9/10/2020,9/15/2020,Standard Class,LC-16930,United States,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,29.4336
43,CA-2019-101343,7/17/2019,7/22/2019,Standard Class,RA-19885,United States,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,0
44,CA-2020-139619,9/19/2020,9/23/2020,Standard Class,ES-14080,United States,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,19.1232
45,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,United States,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,0
46,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,United States,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,0
47,CA-2017-146703,10/20/2017,10/25/2017,Second Class,PO-18865,United States,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,0
48,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,United States,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,0
49,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,United States,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,0
50,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,United States,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,0
51,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,United States,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,0
52,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,United States,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,0
53,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,United States,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,0
54,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,United States,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,0
55,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,United States,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,0
56,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,0
57,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,0
58,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,31.941
59,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,0
60,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,0
61,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,9.696
62,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,United States,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,0
63,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,United States,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,0
64,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,United States,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,5.1648
65,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,United States,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,0
66,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,United States,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,0
