VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-04-01 00:04:55,2022-04-01 00:14:38,1.0,2.02,1.0,N,114,170,3,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5,0.0
1,2022-04-01 06:02:11,2022-04-01 06:21:36,1.0,5.7,1.0,N,132,216,3,19.0,1.25,0.5,0.0,0.0,0.3,21.05,0.0,1.25
2,2022-04-01 08:45:59,2022-04-01 09:04:37,1.0,3.16,1.0,N,211,162,2,14.5,0.0,0.5,3.56,0.0,0.3,21.36,2.5,0.0
2,2022-04-01 09:25:53,2022-04-01 09:30:41,1.0,0.69,1.0,N,237,236,2,5.5,0.0,0.5,0.8,0.0,0.3,9.6,2.5,0.0
2,2022-04-01 12:30:37,2022-04-01 12:42:09,1.0,2.2,1.0,N,238,237,2,10.0,0.0,0.5,3.33,0.0,0.3,16.63,2.5,0.0
2,2022-04-01 12:04:02,2022-04-01 12:34:54,1.0,9.37,1.0,N,138,151,2,30.5,0.0,0.5,4.0,6.55,0.3,43.1,0.0,1.25
2,2022-04-01 13:29:46,2022-04-01 13:43:08,1.0,1.98,1.0,N,162,236,2,10.0,0.0,0.5,3.32,0.0,0.3,16.62,2.5,0.0
1,2022-04-01 14:21:28,2022-04-01 14:29:42,1.0,1.0,1.0,N,229,163,2,7.0,2.5,0.5,2.05,0.0,0.3,12.35,2.5,0.0
1,2022-04-01 15:02:03,2022-04-01 16:06:59,3.0,18.0,2.0,N,132,48,3,52.0,3.75,0.5,0.0,6.55,0.3,63.1,2.5,1.25
2,2022-04-01 16:10:46,2022-04-01 16:33:57,1.0,3.32,1.0,N,151,237,2,16.5,1.0,0.5,4.16,0.0,0.3,24.96,2.5,0.0
2,2022-04-01 16:58:07,2022-04-01 17:02:00,1.0,0.73,1.0,N,237,237,2,5.0,1.0,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2022-04-01 16:25:07,2022-04-01 16:32:56,1.0,1.13,1.0,N,230,50,2,7.0,1.0,0.5,3.39,0.0,0.3,14.69,2.5,0.0
2,2022-04-01 17:42:54,2022-04-01 18:00:24,3.0,4.05,1.0,N,141,79,2,15.5,1.0,0.5,3.96,0.0,0.3,23.76,2.5,0.0
2,2022-04-01 17:40:11,2022-04-01 17:51:55,2.0,1.86,1.0,N,249,246,2,9.5,1.0,0.5,2.76,0.0,0.3,16.56,2.5,0.0
1,2022-04-01 17:27:14,2022-04-01 17:33:10,2.0,0.8,1.0,N,249,211,2,5.5,3.5,0.5,1.95,0.0,0.3,11.75,2.5,0.0
2,2022-04-01 17:04:14,2022-04-01 17:20:44,1.0,2.68,1.0,N,100,238,3,12.5,1.0,0.5,0.0,0.0,0.3,16.8,2.5,0.0
2,2022-04-01 17:21:24,2022-04-01 17:25:02,1.0,0.97,1.0,N,68,68,2,5.0,1.0,0.5,1.0,0.0,0.3,10.3,2.5,0.0
1,2022-04-01 17:25:31,2022-04-01 17:29:48,1.0,0.6,1.0,N,237,236,2,5.0,3.5,0.5,1.85,0.0,0.3,11.15,2.5,0.0
1,2022-04-01 18:46:40,2022-04-01 19:12:54,1.0,9.4,1.0,N,65,239,2,29.5,3.5,0.5,2.0,0.0,0.3,35.8,2.5,0.0
2,2022-04-01 19:58:10,2022-04-01 20:19:27,1.0,2.45,1.0,N,246,229,2,14.0,1.0,0.5,3.66,0.0,0.3,21.96,2.5,0.0
2,2022-04-01 19:12:03,2022-04-01 19:19:36,1.0,1.19,1.0,N,100,163,2,7.0,1.0,0.5,0.0,0.0,0.3,11.3,2.5,0.0
1,2022-04-01 19:21:49,2022-04-01 19:36:28,1.0,2.1,1.0,N,158,170,2,11.5,3.5,0.5,0.0,0.0,0.3,15.8,2.5,0.0
1,2022-04-01 20:29:49,2022-04-01 20:35:54,1.0,0.8,1.0,N,137,79,2,5.5,3.0,0.5,1.85,0.0,0.3,11.15,2.5,0.0
1,2022-04-01 21:10:35,2022-04-01 21:27:57,2.0,2.7,1.0,N,231,107,3,12.5,3.0,0.5,0.0,0.0,0.3,16.3,2.5,0.0
1,2022-04-01 21:47:38,2022-04-01 21:57:04,1.0,3.5,1.0,N,164,75,2,11.5,3.0,0.5,4.0,0.0,0.3,19.3,2.5,0.0
2,2022-04-01 22:10:06,2022-04-01 22:13:16,1.0,0.28,1.0,N,161,161,3,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0
1,2022-04-01 22:24:05,2022-04-01 22:34:15,1.0,1.3,1.0,N,237,229,2,9.0,3.0,0.5,1.92,0.0,0.3,14.72,2.5,0.0
2,2022-04-01 22:47:16,2022-04-01 23:03:36,1.0,1.68,1.0,N,162,90,2,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5,0.0
1,2022-04-01 23:39:25,2022-04-02 00:09:17,2.0,17.7,2.0,N,132,68,2,52.0,3.75,0.5,12.6,6.55,0.3,75.7,2.5,1.25
2,2022-04-02 00:10:00,2022-04-02 00:20:22,1.0,2.01,1.0,N,24,143,2,9.5,0.5,0.5,1.0,0.0,0.3,14.3,2.5,0.0
2,2022-04-02 02:38:42,2022-04-02 02:45:07,4.0,1.46,1.0,N,79,144,3,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5,0.0
2,2022-04-02 02:35:14,2022-04-02 02:45:01,1.0,4.25,1.0,N,79,263,2,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5,0.0
2,2022-04-02 02:20:25,2022-04-02 02:53:45,1.0,21.07,2.0,N,132,87,2,52.0,0.0,0.5,5.0,0.0,0.3,61.55,2.5,1.25
2,2022-04-02 03:34:04,2022-04-02 03:39:47,2.0,1.26,1.0,N,68,163,2,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,2022-04-02 10:15:18,2022-04-02 10:15:46,1.0,0.24,5.0,N,132,132,2,67.0,0.0,0.0,10.0,0.0,0.3,78.55,0.0,1.25
2,2022-04-02 10:23:00,2022-04-02 10:27:18,1.0,0.91,1.0,N,234,170,2,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,2022-04-02 11:03:44,2022-04-02 11:06:27,2.0,0.65,1.0,N,234,113,2,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5,0.0
1,2022-04-02 11:21:18,2022-04-02 12:09:32,1.0,16.0,99.0,N,261,254,2,52.2,0.0,0.5,0.0,6.55,0.3,59.55,0.0,0.0
2,2022-04-02 12:48:57,2022-04-02 13:12:02,2.0,6.51,1.0,N,140,114,2,22.5,0.0,0.5,5.16,0.0,0.3,30.96,2.5,0.0
2,2022-04-02 14:36:59,2022-04-02 14:48:41,1.0,1.36,1.0,N,236,43,2,9.0,0.0,0.5,2.0,0.0,0.3,14.3,2.5,0.0
2,2022-04-02 14:23:23,2022-04-02 14:28:03,3.0,0.6,1.0,N,43,161,2,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,2022-04-02 15:57:21,2022-04-02 16:17:42,1.0,3.72,1.0,N,13,48,2,16.5,0.0,0.5,1.98,0.0,0.3,21.78,2.5,0.0
2,2022-04-02 16:02:51,2022-04-02 16:21:31,2.0,2.5,1.0,N,43,233,2,13.0,0.0,0.5,3.26,0.0,0.3,19.56,2.5,0.0
2,2022-04-02 16:00:41,2022-04-02 16:05:32,1.0,1.0,1.0,N,262,140,2,5.5,0.0,0.5,1.0,0.0,0.3,9.8,2.5,0.0
1,2022-04-02 16:16:30,2022-04-02 16:39:40,0.0,3.6,1.0,N,163,74,2,17.5,2.5,0.5,1.0,0.0,0.3,21.8,2.5,0.0
2,2022-04-02 16:58:19,2022-04-02 17:21:07,2.0,4.87,1.0,N,239,137,2,19.5,0.0,0.5,6.84,0.0,0.3,29.64,2.5,0.0
1,2022-04-02 16:36:39,2022-04-02 16:50:05,1.0,1.9,1.0,N,148,170,2,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5,0.0
1,2022-04-02 16:55:56,2022-04-02 17:45:14,1.0,4.8,1.0,N,237,231,2,30.0,2.5,0.5,3.0,0.0,0.3,36.3,2.5,0.0
2,2022-04-02 17:19:54,2022-04-02 17:26:41,1.0,0.98,1.0,N,146,7,3,6.0,0.0,0.5,0.0,0.0,0.3,6.8,0.0,0.0
2,2022-04-02 17:11:16,2022-04-02 17:33:57,2.0,6.6,1.0,N,132,197,5,-21.5,0.0,-0.5,0.0,0.0,-0.3,-23.55,0.0,-1.25
2,2022-04-02 18:52:17,2022-04-02 19:05:31,2.0,1.92,1.0,N,114,68,2,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5,0.0
